site;plot;year;date;time;temperature
Cataperdris;Early;2017;09/08/2017;05:00:01;6,927
Cataperdris;Early;2017;09/08/2017;08:00:01;6,42599999999999
Cataperdris;Early;2017;09/08/2017;11:00:01;8,933
Cataperdris;Early;2017;09/08/2017;14:00:01;7,93
Cataperdris;Early;2017;09/08/2017;17:00:01;6,927
Cataperdris;Early;2017;09/08/2017;20:00:01;5,924
Cataperdris;Early;2017;09/08/2017;23:00:01;4,419
Cataperdris;Early;2017;10/08/2017;02:00:01;2,91399999999999
Cataperdris;Early;2017;10/08/2017;05:00:01;2,412
Cataperdris;Early;2017;10/08/2017;08:00:01;1,91
Cataperdris;Early;2017;10/08/2017;11:00:01;5,924
Cataperdris;Early;2017;10/08/2017;14:00:01;7,93
Cataperdris;Early;2017;10/08/2017;17:00:01;7,93
Cataperdris;Early;2017;10/08/2017;20:00:01;6,42599999999999
Cataperdris;Early;2017;10/08/2017;23:00:01;4,921
Cataperdris;Early;2017;11/08/2017;02:00:01;4,419
Cataperdris;Early;2017;11/08/2017;05:00:01;2,91399999999999
Cataperdris;Early;2017;11/08/2017;08:00:01;2,412
Cataperdris;Early;2017;11/08/2017;11:00:01;7,93
Cataperdris;Early;2017;11/08/2017;14:00:01;10,436
Cataperdris;Early;2017;11/08/2017;17:00:01;11,438
Cataperdris;Early;2017;11/08/2017;20:00:01;9,434
Cataperdris;Early;2017;11/08/2017;23:00:01;6,927
Cataperdris;Early;2017;12/08/2017;02:00:01;5,924
Cataperdris;Early;2017;12/08/2017;05:00:01;4,921
Cataperdris;Early;2017;12/08/2017;08:00:01;4,921
Cataperdris;Early;2017;12/08/2017;11:00:01;11,939
Cataperdris;Early;2017;12/08/2017;14:00:01;13,942
Cataperdris;Early;2017;12/08/2017;17:00:01;15,945
Cataperdris;Early;2017;12/08/2017;20:00:01;13,942
Cataperdris;Early;2017;12/08/2017;23:00:01;11,438
Cataperdris;Early;2017;13/08/2017;02:00:01;10,937
Cataperdris;Early;2017;13/08/2017;05:00:01;9,434
Cataperdris;Early;2017;13/08/2017;08:00:01;8,431
Cataperdris;Early;2017;13/08/2017;11:00:01;14,944
Cataperdris;Early;2017;13/08/2017;14:00:01;15,945
Cataperdris;Early;2017;13/08/2017;17:00:01;14,443
Cataperdris;Early;2017;13/08/2017;20:00:01;13,942
Cataperdris;Early;2017;13/08/2017;23:00:01;11,438
Cataperdris;Early;2017;14/08/2017;02:00:01;10,436
Cataperdris;Early;2017;14/08/2017;05:00:01;8,933
Cataperdris;Early;2017;14/08/2017;08:00:01;8,431
Cataperdris;Early;2017;14/08/2017;11:00:01;14,944
Cataperdris;Early;2017;14/08/2017;14:00:01;16,445
Cataperdris;Early;2017;14/08/2017;17:00:01;17,946
Cataperdris;Early;2017;14/08/2017;20:00:01;16,445
Cataperdris;Early;2017;14/08/2017;23:00:01;13,442
Cataperdris;Early;2017;15/08/2017;02:00:01;11,939
Cataperdris;Early;2017;15/08/2017;05:00:01;10,937
Cataperdris;Early;2017;15/08/2017;08:00:01;10,436
Cataperdris;Early;2017;15/08/2017;11:00:01;16,445
Cataperdris;Early;2017;15/08/2017;14:00:01;17,946
Cataperdris;Early;2017;15/08/2017;17:00:01;18,447
Cataperdris;Early;2017;15/08/2017;20:00:01;16,946
Cataperdris;Early;2017;15/08/2017;23:00:01;11,438
Cataperdris;Early;2017;16/08/2017;02:00:01;10,937
Cataperdris;Early;2017;16/08/2017;05:00:01;10,937
Cataperdris;Early;2017;16/08/2017;08:00:01;10,436
Cataperdris;Early;2017;16/08/2017;11:00:01;13,942
Cataperdris;Early;2017;16/08/2017;14:00:01;15,444
Cataperdris;Early;2017;16/08/2017;17:00:01;17,446
Cataperdris;Early;2017;16/08/2017;20:00:01;16,946
Cataperdris;Early;2017;16/08/2017;23:00:01;14,443
Cataperdris;Early;2017;17/08/2017;02:00:01;13,442
Cataperdris;Early;2017;17/08/2017;05:00:01;11,939
Cataperdris;Early;2017;17/08/2017;08:00:01;10,937
Cataperdris;Early;2017;17/08/2017;11:00:01;16,946
Cataperdris;Early;2017;17/08/2017;14:00:01;19,447
Cataperdris;Early;2017;17/08/2017;17:00:01;19,447
Cataperdris;Early;2017;17/08/2017;20:00:01;17,446
Cataperdris;Early;2017;17/08/2017;23:00:01;14,443
Cataperdris;Early;2017;18/08/2017;02:00:01;12,941
Cataperdris;Early;2017;18/08/2017;05:00:01;11,939
Cataperdris;Early;2017;18/08/2017;08:00:01;11,438
Cataperdris;Early;2017;18/08/2017;11:00:01;17,446
Cataperdris;Early;2017;18/08/2017;14:00:01;18,947
Cataperdris;Early;2017;18/08/2017;17:00:01;19,947
Cataperdris;Early;2017;29/08/2017;20:00:01;14,443
Cataperdris;Early;2017;29/08/2017;23:00:01;12,44
Cataperdris;Early;2017;30/08/2017;02:00:01;11,438
Cataperdris;Early;2017;30/08/2017;05:00:01;10,937
Cataperdris;Early;2017;30/08/2017;08:00:01;10,436
Cataperdris;Early;2017;30/08/2017;11:00:01;10,937
Cataperdris;Early;2017;30/08/2017;14:00:01;11,438
Cataperdris;Early;2017;30/08/2017;17:00:01;11,939
Cataperdris;Early;2017;30/08/2017;20:00:01;11,438
Cataperdris;Early;2017;30/08/2017;23:00:01;9,935
Cataperdris;Early;2017;31/08/2017;02:00:01;9,434
Cataperdris;Early;2017;31/08/2017;05:00:01;8,933
Cataperdris;Early;2017;31/08/2017;08:00:01;8,933
Cataperdris;Early;2017;31/08/2017;11:00:01;9,434
Cataperdris;Early;2017;31/08/2017;14:00:01;8,933
Cataperdris;Early;2017;31/08/2017;17:00:01;9,434
Cataperdris;Early;2017;31/08/2017;20:00:01;9,434
Cataperdris;Early;2017;31/08/2017;23:00:01;7,93
Cataperdris;Early;2017;01/09/2017;02:00:01;6,927
