code;combe;quad;placette;n.placette;date;proxi;year;Agrostis rupestris;Alchemilla flabellata;Anthyllis vulneraria;Armeria alpina (var. occasiana);Armeria muelleri;Avenula versicolor;Bartsia alpina;Campanula scheuchzeri subsp. lanceolata;Cardamine alpina;Cardamine resedifolia;Cardamine sp.;Carex curvula subsp. curvula;Carex parviflora;Carex pyrenaica;Epikeros pyrenaeus;Euphrasia minima;Festuca glacialis;Festuca paniculata subsp. paniculata;Festuca rubra subsp. commutata;Gentiana alpina;Gentiana nivalis;Gentiana schleicheri;Geum montanum;Gnaphalium supinum;Helictotrichon sedenense;Homogyne alpina;Jasione crispa;Juncus trifidus;Leucanthemopsis alpina subsp. alpina;Linaria alpina;Lotus alpinus;Luzula alpinopilosa subsp. candollei;Luzula lutea;Luzula nutans;Luzula spicata (subsp. mutabilis);Meum athamanticum;Mucizonia sedoides;Murbeckiella pinnatifida;Nardus stricta;Oreochloa elegans;Pedicularis pyrenaica;Persicaria vivipara;Phleum alpinum s. s. (à arrête non ciliée);Phyteuma hemisphaericum;Poa alpina;Poa cenisia;Polytrichum sp.;Primula integrifolia;Rhododendron ferrugineum;Sagina saginoides;Salix herbacea;Salix retusa;Saxifraga geranioides;Saxifraga moschata;Scorzoneroides pyrenaica;Sedum alpestre;Sempervivum montanum;Sibbaldia procumbens;Silene acaulis subsp. acaulis;Silene rupestris;Soldanella alpina;Taraxacum pyrenaicum;Trifolium alpinum;Trifolium thalii;Vaccinium myrtillus;Veronica alpina
PdlC-A2-20130903;PdlC;A2;1;3;20130903;pheno;2013;;;;;;;;;;;;;;;;;;;;fe;;;;fe;;fe;;;;;;;;;;;;;;;fe;;;;fl;;;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20140721;PdlC;A2;1;3;20140721;pheno;2014;;;;fe;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;;fl;;;fe;;;fl f;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20140721;PdlC;A2;1;3;20140721;pheno;2014;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;;fl;;;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20140901;PdlC;A2;1;3;20140901;pheno;2014;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;;;;;;fr;;;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A2-20150701;PdlC;A2;1;3;20150701;pheno;2015;;;;;;;;;;;;;;;;;;;;fe;;;bt;fe;;fe;;;;;;;;;;;;;;bt;;;;;bt;;;fl;;;fe;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20150720;PdlC;A2;1;3;20150720;pheno;2015;;;;;;;;;;;;;;;;;;;;fl;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;;fe;fl;fe;;fl;;;fr;;;;fl;fe;;fe;;;;;bt;;;fr
PdlC-A2-20150810;PdlC;A2;1;3;20150810;pheno;2015;;;;;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;;;fr;;;fr;;;fr;;;;fe;fe;;fe;;;;;fe;;;fr
PdlC-A2-20150831;PdlC;A2;1;3;20150831;pheno;2015;;;;;;;;;;;;;;;;;;;;fe;;;fe;di;;fe;;;;;fe;;;;;;;;;;;;;;se;;;di;;;di;;;;;fe;;fe;;;;;fe;;;di
PdlC-A2-20160705;PdlC;A2;1;3;20160705;pheno;2016;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;bt;;;;;;;;;;;;;;;;;;;fe;;;;;;fe;;;;;fe;;fe;;;;;fe;;;
PdlC-A2-20160726;PdlC;A2;1;3;20160726;pheno;2016;;;;;;;;fe;;;;;;;;;;;;fl;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;;fe;fl;;;fe;;;fr;;;;bt;fe;;fe;;;;;fe;;;
PdlC-A2-20160816;PdlC;A2;1;3;20160816;pheno;2016;fl;;;;;;;fe;;;;;;;;;;;;bi;;;fe;fr;;fr;;;;;fe;;;;;;;;;;;;;fe;fr;;;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;
